,Headlines,Valid Source,Source
0,"Chris Wallace: Trump ""bears the primary responsibility"" for debate",Yes,Axios
1,Biden to expand voter outreach with in-person canvassing,Yes,Axios
2,Doomsday has arrived for tens of thousands of workers,Yes,Axios
3,"Pfizer CEO: COVID-19 vaccine development is ""moving at the speed of science""",Yes,Axios
4,Anne Helen Petersen on America's burnout epidemic,Yes,Axios
5,How the brain handles the unknown,Yes,Axios
6,Coronavirus dashboard,Yes,Axios
7,Trump pushes back on changes to upcoming presidential debates,Yes,Axios
8,"Health officials urge flu shots, warning of ""twindemic"" with COVID-19",Yes,Axios
9,Watch: A conversation following the first presidential debate,Yes,Axios
10,5 vulnerable GOP senators vote to protect Affordable Care Act from Trump lawsuit,Yes,Axios
11,Texas Gov. Abbott limits mail-in voting drop-off locations,Yes,Axios
12,House prepares to pass revised COVID relief bill as White House talks hit roadblock,Yes,Axios
13,"A new claimant for ""most powerful quantum computer""",Yes,Axios
14,Court orders Snowden to pay U.S. government $5.2 million from book sales,Yes,Axios
15,"Breaking down JPMorgan's record $920 million fine for ""spoofing""",Yes,Axios
16,How equity became more attractive than debt,Yes,Axios
17,Bain Capital's cheerleading investment gets ugly,Yes,Axios
18,"U.S. economy added 661,000 jobs in September",Yes,Axios
19,Dark clouds form in emerging markets,Yes,Axios
20,Mike Pence tests negative for coronavirus,Yes,Axios
21,"America's new clear, present dangers",Yes,Axios
22,NHL sets sights on next year's campaign,Yes,Axios
23,Trump's month of hell,Yes,Axios
24,The president is infected,Yes,Axios
25,"Exclusive: LGBTQ youth overwhelmingly distrust police, support BLM",Yes,Axios
26,"Crypto firm's ""no politics"" experiment",Yes,Axios
27,Trump's tweet on positive coronavirus test is his most shared ever,Yes,Axios
28,Trump tests positive for coronavirus,Yes,Axios
29,Trump's Proud Boys moment dominated debate conversation,Yes,Axios
30,Conservatives invoke JFK to defend ACB,Yes,Axios
31,Podcast: Trump tests positive for coronavirus,Yes,Axios
32,World leaders react to Trump testing positive for coronavirus,Yes,Axios
33,Trumpworld coronavirus tracker,Yes,Axios
34,SurveyMonkey poll: Trump faces little GOP fallout over COVID disclosure,Yes,Axios
35,Graham's Democratic challenger debates him from behind plexiglass shield,Yes,Axios
36,"""SNL"" tackles Trump's coronavirus diagnosis",Yes,Axios
37,Trump campaign takes over YouTube masthead,Yes,Axios
