Headlines,Valid Source,Source
"Chris Wallace: Trump ""bears the primary responsibility"" for debate",Yes,Axios
Biden to expand voter outreach with in-person canvassing,Yes,Axios
Doomsday has arrived for tens of thousands of workers,Yes,Axios
"Pfizer CEO: COVID-19 vaccine development is ""moving at the speed of science""",Yes,Axios
Anne Helen Petersen on America's burnout epidemic,Yes,Axios
How the brain handles the unknown,Yes,Axios
Coronavirus dashboard,Yes,Axios
Trump pushes back on changes to upcoming presidential debates,Yes,Axios
"Health officials urge flu shots, warning of ""twindemic"" with COVID-19",Yes,Axios
Watch: A conversation following the first presidential debate,Yes,Axios
5 vulnerable GOP senators vote to protect Affordable Care Act from Trump lawsuit,Yes,Axios
Texas Gov. Abbott limits mail-in voting drop-off locations,Yes,Axios
House prepares to pass revised COVID relief bill as White House talks hit roadblock,Yes,Axios
"A new claimant for ""most powerful quantum computer""",Yes,Axios
Court orders Snowden to pay U.S. government $5.2 million from book sales,Yes,Axios
"Breaking down JPMorgan's record $920 million fine for ""spoofing""",Yes,Axios
How equity became more attractive than debt,Yes,Axios
Bain Capital's cheerleading investment gets ugly,Yes,Axios
"U.S. economy added 661,000 jobs in September",Yes,Axios
Dark clouds form in emerging markets,Yes,Axios
Mike Pence tests negative for coronavirus,Yes,Axios
"America's new clear, present dangers",Yes,Axios
NHL sets sights on next year's campaign,Yes,Axios
Trump's month of hell,Yes,Axios
The president is infected,Yes,Axios
"Exclusive: LGBTQ youth overwhelmingly distrust police, support BLM",Yes,Axios
"Crypto firm's ""no politics"" experiment",Yes,Axios
Trump's tweet on positive coronavirus test is his most shared ever,Yes,Axios
Trump tests positive for coronavirus,Yes,Axios
Trump's Proud Boys moment dominated debate conversation,Yes,Axios
Conservatives invoke JFK to defend ACB,Yes,Axios
Podcast: Trump tests positive for coronavirus,Yes,Axios
World leaders react to Trump testing positive for coronavirus,Yes,Axios
Trumpworld coronavirus tracker,Yes,Axios
SurveyMonkey poll: Trump faces little GOP fallout over COVID disclosure,Yes,Axios
Graham's Democratic challenger debates him from behind plexiglass shield,Yes,Axios
"""SNL"" tackles Trump's coronavirus diagnosis",Yes,Axios
Trump campaign takes over YouTube masthead,Yes,Axios
"Trump gives coronavirus update: ""I'm starting to feel good""",Yes,Axios
"Mark Meadows: Trump's blood oxygen level ""dropped rapidly,"" but he's doing well",Yes,Axios
U.S. coronavirus updates,Yes,Axios
"White House physician says Trump's ""not yet out of the woods""",Yes,Axios
"Biden says he told some governors ""don't endorse me ... because you'll pay a penalty""",Yes,Axios
Chris Christie checks himself into a hospital after testing positive for COVID-19,Yes,Axios
"Trump campaign launches ""Operation MAGA"" after president's COVID-19 diagnosis",Yes,Axios
Covering a cover-up in real time,Yes,Axios
N.C. Dem. Senate candidate sent intimate texts to a woman who isn't his wife,Yes,Axios
White House enters cleanup mode over Trump's COVID-19 timeline,Yes,Axios
The turning point,Yes,Axios
"Senate postpones floor activity, but not Amy Coney Barrett confirmation hearings",Yes,Axios
Drop in labor force participation cut unemployment rate,Yes,Axios
Long-term unemployment's V-shaped bounce,Yes,Axios
Markets are unfazed by Trump's coronavirus uncertainty,Yes,Axios
